unit_number,street_address_1,street_address_2,city,state,zip,building_number,association_number,folio,strap
1311,4104 BELLASOL CIRCLE,,FORT MYERS,FL,33916,13,1,10499771,31-44-25-P3-01313.1311
2321,4281 BELLASOL CIRCLE,,FORT MYERS,FL,33916,23,6,10517092,31-44-25-P3-01823.2321
1713,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508185,31-44-25-P3-01417.1713
3112,4324 BELLASOL CIRCLE,,FORT MYERS,FL,33916,31,7,10499637,31-44-25-P3-01331.3112
1912,4241 BELLASOL CIRCLE,,FORT MYERS,FL,33916,19,5,10515071,31-44-25-P3-01719.1912
1624,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505978,31-44-25-P3-01416.1624
723,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511457,31-44-25-P3-01607.0723
1921,4241 BELLASOL CIRCLE,,FORT MYERS,FL,33916,19,5,10515074,31-44-25-P3-01719.1921
521,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511499,31-44-25-P3-01505.0521
115,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501866,31-44-25-P3-01301.0115
2112,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516494,31-44-25-P3-01721.2112
216,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502550,31-44-25-P3-01402.0216
2424,4287 BELLASOL CIRCLE,,FORT MYERS,FL,33916,24,6,10517103,31-44-25-P3-01824.2424
315,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502561,31-44-25-P3-01403.0315
423,4141 BELLASOL CIRCLE,,FORT MYERS,FL,33916,4,3,10511493,31-44-25-P3-01504.0423
1012,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511480,31-44-25-P3-01610.1012
1813,4233 BELLASOL CIRCLE,,FORT MYERS,FL,33916,18,5,10512608,31-44-25-P3-01718.1813
124,4117 BELLASOL CIRCLE,,FORT MYERS,FL,33916,1,1,10501871,31-44-25-P3-01301.0124
1221,4101 BELLASOL CIRCLE,,FORT MYERS,FL,33916,12,1,10499767,31-44-25-P3-01312.1221
724,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511458,31-44-25-P3-01607.0724
1014,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511482,31-44-25-P3-01610.1014
1514,4136 BELLASOL CIRCLE,,FORT MYERS,FL,33916,15,2,10505629,31-44-25-P3-01415.1514
316,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502562,31-44-25-P3-01403.0316
2023,4259 BELLASOL CIRCLE,,FORT MYERS,FL,33916,20,5,10515084,31-44-25-P3-01720.2023
2124,4267 BELLASOL CIRCLE,,FORT MYERS,FL,33916,21,5,10516500,31-44-25-P3-01721.2124
2524,4293 BELLASOL CIRCLE,,FORT MYERS,FL,33916,25,6,10517111,31-44-25-P3-01825.2524
714,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511454,31-44-25-P3-01607.0714
1623,4225 BELLASOL CIRCLE,,FORT MYERS,FL,33916,16,2,10505977,31-44-25-P3-01416.1623
623,4199 BELLASOL CIRCLE,,FORT MYERS,FL,33916,6,3,10517574,31-44-25-P3-01506.0623
1324,4104 BELLASOL CIRCLE,,FORT MYERS,FL,33916,13,1,10499778,31-44-25-P3-01313.1324
3412,4306 BELLASOL CIRCLE,,FORT MYERS,FL,33916,34,7,10508328,31-44-25-P3-01334.3412
622,4199 BELLASOL CIRCLE,,FORT MYERS,FL,33916,6,3,10517573,31-44-25-P3-01506.0622
1711,4219 BELLASOL CIRCLE,,FORT MYERS,FL,33916,17,2,10508183,31-44-25-P3-01417.1711
1124,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503634,31-44-25-P3-01311.1124
513,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511497,31-44-25-P3-01505.0513
